gvkey,fyear,at,ebit,ebitda,ni,ppent,sale,naics
002990,2017.0,47.514,-18.468,-17.865,-20.402,0.176,0.5,325414
002991,2017.0,253806.0,2480.0,21829.0,9195.0,177712.0,127485.0,324110
002999,2017.0,31.816,2.365,3.597,2.079,12.557,35.765,332722
003007,2017.0,1413.7,266.482,424.879,150.823,1000.614,3150.837,722511
003026,2017.0,6014.8,775.4,897.3,743.4,607.7,3776.2,325611
003028,2017.0,2359.4,169.7,225.6,140.5,608.0,882.6,713210
003036,2017.0,2162.4,93.3,286.3,35.1,1129.0,1288.5,517311
003039,2017.0,7875.0,331.0,592.0,192.0,6041.0,1923.0,2211
003062,2017.0,6958.214,1031.731,1308.407,842.586,1382.73,6476.632,812331
003105,2017.0,12260.431,980.333,1581.628,-393.891,1884.714,6170.994,515112
003107,2017.0,2953.4,406.0,493.7,367.0,1051.0,2335.3,331110
003121,2017.0,4573.0,1117.0,1280.0,701.0,931.0,5973.0,325612
003138,2017.0,3072.96,96.179,266.735,96.535,1061.225,4323.668,312111
003144,2017.0,87896.0,9430.0,10648.0,1248.0,8203.0,35410.0,312111
003153,2017.0,1701.175,43.226,198.544,-1.319,1084.306,709.598,21222
003157,2017.0,2337.8,372.482,476.727,207.122,278.85,1723.311,334516
003158,2017.0,420.457,38.447,47.642,32.843,34.172,352.704,334515
003169,2017.0,110.322,-38.446,-36.736,-39.062,3.275,38.154,325414
003170,2017.0,12676.0,3912.0,4387.0,2024.0,4072.0,15454.0,325611
003184,2017.0,33.474,1.58,1.939,0.514,0.568,92.33,423730
003198,2017.0,1311.0,170.0,216.0,89.0,1219.0,320.0,221210
003203,2017.0,254.738,58.788,73.045,42.014,34.76,252.56,325520
003221,2017.0,26088.0,,,,564.0,,524210
003221,2017.0,26088.0,2155.0,2497.0,1226.0,564.0,9998.0,524210
003226,2017.0,186949.0,17795.0,28062.0,22714.0,38470.0,84526.0,515210
003231,2017.0,71567.0,,,,466.0,,522110
003231,2017.0,71567.0,1866.5,1987.5,743.0,466.0,3289.0,522110
003238,2017.0,24833.415,,,,335.11,,522110
003238,2017.0,24833.415,647.857,687.589,319.383,335.11,1289.062,522110
003243,2017.0,1842465.0,32433.0,36092.0,-6798.0,,87367.0,522110
003243,2017.0,1842465.0,,,,,,522110
003246,2017.0,2975.131,119.887,244.958,46.332,1061.283,4569.675,331110
003275,2017.0,58.146,-7.863,-4.677,-11.826,12.625,82.323,334210
003278,2017.0,17699.0,814.0,3020.0,361.0,11330.0,8848.0,532111
003310,2017.0,13060.0,1148.0,1526.0,476.0,237.0,4235.0,511210
003336,2017.0,33921.0,3046.0,5010.0,1751.0,3646.0,24556.0,541512
003342,2017.0,127.635,5.944,7.522,0.806,6.996,301.21,541519
003358,2017.0,832.063,25.022,62.199,15.827,32.847,550.368,334220
003362,2017.0,10389.5,1279.2,1532.7,808.4,1620.1,7938.3,31142
003369,2017.0,9.546,-5.249,-2.793,-12.491,3.808,57.113,533110
003382,2017.0,577.776,28.401,63.891,16.727,85.698,557.111,519130
003392,2017.0,10630.246,685.103,934.455,376.726,8271.03,2887.359,2211
003394,2017.0,898.783,34.397,51.081,25.054,697.723,107.878,221310
003410,2017.0,1313.422,33.993,33.993,-15.815,0.0,139.121,531120
003410,2017.0,1313.422,,,,0.0,,531120
003413,2017.0,48111.0,2609.0,3950.0,1525.0,35273.0,12033.0,22111
003424,2017.0,1063.584,0.267,21.54,50.071,295.8,839.804,722511
003429,2017.0,466.13,38.042,50.706,41.719,347.688,91.412,5311
003429,2017.0,466.13,,,,11.436,,5311
003439,2017.0,23050.0,1338.0,2219.0,460.0,16761.0,6583.0,22111
003465,2017.0,82.489,2.898,5.452,1.818,22.824,152.81,333415
003469,2017.0,14199.651,455.086,2285.017,789.447,12933.789,3120.828,211120
003502,2017.0,2607.735,277.307,417.535,95.4,966.747,2854.656,326211
003504,2017.0,4858.7,470.4,658.8,372.9,910.1,2139.0,339115
003505,2017.0,30246.9,1834.5,2626.8,1414.2,4673.7,11002.8,312120
003516,2017.0,227.822,35.515,43.554,25.634,14.777,143.869,312140
003532,2017.0,27494.0,1689.0,2847.0,-497.0,14017.0,10116.0,334419
003533,2017.0,106.36,4.541,6.684,2.101,82.136,30.042,221210
003552,2017.0,912.88,35.428,55.136,24.754,96.623,1487.864,423710
003562,2017.0,4204.619,119.827,,216.275,,513.3,531120
003562,2017.0,4204.619,,,,,,531120
003570,2017.0,1521.942,313.158,399.07,201.899,1098.097,2926.289,722511
003580,2017.0,3593.5,422.7,494.6,171.8,282.4,2786.0,332912
003581,2017.0,787.936,81.881,123.538,27.665,41.664,1163.709,524291
003591,2017.0,10824.0,738.0,881.0,94.0,25.0,1676.0,522291
003592,2017.0,19433.0,1345.0,1673.0,183.0,144.0,3785.0,522291
